Wed Sep  9 18:22:12 2020    output.prof

         3368231 function calls (3228307 primitive calls) in 76.218 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/3    0.000    0.000   76.220   25.407 C:\Users\39331\anaconda3\lib\site-packages\tornado\gen.py:716(run)
     15/6    0.000    0.000   76.220   12.703 {method 'send' of 'generator' objects}
      9/5    0.000    0.000   76.219   15.244 C:\Users\39331\anaconda3\lib\site-packages\tornado\gen.py:700(__init__)
        6    0.000    0.000   76.213   12.702 C:\Users\39331\anaconda3\lib\site-packages\ipykernel\kernelbase.py:225(dispatch_shell)
       15    0.000    0.000   76.212    5.081 C:\Users\39331\anaconda3\lib\asyncio\events.py:79(_run)
       15    0.000    0.000   76.212    5.081 {method 'run' of 'Context' objects}
       12    0.000    0.000   76.212    6.351 C:\Users\39331\anaconda3\lib\site-packages\tornado\ioloop.py:735(_run_callback)
        1    0.000    0.000   76.212   76.212 C:\Users\39331\anaconda3\lib\asyncio\base_events.py:1784(_run_once)
        1    0.000    0.000   76.212   76.212 C:\Users\39331\anaconda3\lib\site-packages\tornado\ioloop.py:690(<lambda>)
        1    0.000    0.000   76.212   76.212 C:\Users\39331\anaconda3\lib\site-packages\tornado\gen.py:784(inner)
        3    0.000    0.000   76.212   25.404 C:\Users\39331\anaconda3\lib\site-packages\ipykernel\kernelbase.py:367(dispatch_queue)
     12/3    0.000    0.000   76.211   25.404 C:\Users\39331\anaconda3\lib\site-packages\tornado\gen.py:184(wrapper)
        9    0.000    0.000   76.211    8.468 C:\Users\39331\anaconda3\lib\site-packages\ipykernel\kernelbase.py:351(process_one)
        6    0.000    0.000   76.208   12.701 C:\Users\39331\anaconda3\lib\site-packages\ipykernel\kernelbase.py:516(execute_request)
 27922/16    0.030    0.000   76.206    4.763 {built-in method builtins.next}
        3    0.000    0.000   76.190   25.397 C:\Users\39331\anaconda3\lib\site-packages\ipykernel\ipkernel.py:262(do_execute)
        3    0.000    0.000   76.180   25.393 C:\Users\39331\anaconda3\lib\site-packages\ipykernel\zmqshell.py:534(run_cell)
        3    0.000    0.000   76.180   25.393 C:\Users\39331\anaconda3\lib\site-packages\IPython\core\interactiveshell.py:2840(run_cell)
        3    0.000    0.000   76.180   25.393 C:\Users\39331\anaconda3\lib\site-packages\IPython\core\interactiveshell.py:2874(_run_cell)
        3    0.000    0.000   76.172   25.391 C:\Users\39331\anaconda3\lib\site-packages\IPython\core\async_helpers.py:58(_pseudo_sync_runner)
        3    0.000    0.000   76.172   25.391 {method 'send' of 'coroutine' objects}
        3    0.000    0.000   76.172   25.391 C:\Users\39331\anaconda3\lib\site-packages\IPython\core\interactiveshell.py:2929(run_cell_async)
       23    0.000    0.000   76.163    3.311 C:\Users\39331\anaconda3\lib\site-packages\IPython\core\interactiveshell.py:3302(run_code)
    36/23    0.000    0.000   76.163    3.311 {built-in method builtins.exec}
        3    0.001    0.000   76.162   25.387 C:\Users\39331\anaconda3\lib\site-packages\IPython\core\interactiveshell.py:3151(run_ast_nodes)
